Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
796.3528,28 bytes,1500,0,500,0.0097,0.0280,0.6446,1.2828,1.6880,2
201.6785,28 bytes,1000,0,1000,0.3205,2.3152,3.4484,4.3424,4.8306,1
680.7432,28 bytes,1800,0,10,0.0082,0.0136,0.0175,0.0220,0.0324,1
560.2902,28 bytes,1800,0,20,0.0204,0.0327,0.0412,0.0504,0.0746,1
552.6768,28 bytes,1800,0,50,0.0356,0.0722,0.0850,0.1210,0.2942,1
714.9398,28 bytes,1750,0,70,0.0159,0.0530,0.0804,0.1189,1.0304,1
680.6808,28 bytes,1760,0,80,0.0134,0.0380,0.0740,0.1151,1.5965,2
600.8675,27 bytes,1744,56,100,0.0236,0.0506,0.0752,0.1155,1.7183,2
622.2906,28 bytes,1750,0,125,0.0212,0.0588,0.0905,0.1250,1.9721,1
606.2537,28 bytes,1755,0,135,0.0199,0.0328,0.0445,0.0608,2.2143,1
578.8417,28 bytes,1760,0,160,0.0191,0.0339,0.0447,0.0724,2.5443,1
549.7127,28 bytes,1800,0,180,0.0182,0.0315,0.0414,0.0957,2.7214,1
877.7965,28 bytes,1800,0,200,0.0085,0.0367,0.0626,0.3642,1.5897,1
865.1570,28 bytes,1800,0,300,0.0150,0.0386,0.0677,0.9370,1.7513,2
743.1050,28 bytes,1600,0,400,0.0141,0.0333,0.1890,1.2874,1.9860,2
510.0196,28 bytes,1500,0,500,0.0061,0.0156,0.8840,2.1306,2.8157,1
200.4455,28 bytes,1000,0,1000,0.3489,2.3700,3.5092,4.3828,4.8827,1
554.3021,28 bytes,2000,0,10,0.0110,0.0169,0.0211,0.0258,0.0378,1
584.6438,28 bytes,2000,0,20,0.0190,0.0307,0.0396,0.0509,0.0785,1
637.6955,28 bytes,2000,0,50,0.0263,0.0578,0.0691,0.1035,0.4221,1
881.5250,28 bytes,1960,0,70,0.0100,0.0373,0.0651,0.1086,0.5741,1
750.1593,28 bytes,2000,0,80,0.0122,0.0367,0.0641,0.1033,1.4097,2
774.5903,28 bytes,2000,0,100,0.0079,0.0403,0.0752,0.1328,1.2786,2
622.9422,28 bytes,2000,0,125,0.0233,0.0427,0.0567,0.0800,2.2528,1
558.8673,28 bytes,1890,0,135,0.0234,0.0389,0.0541,0.0772,2.6752,1
