Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
632.4371,28 bytes,15000,0,20,0.0182,0.0296,0.0379,0.0470,0.0655,1
796.0743,28 bytes,15000,0,50,0.0138,0.0473,0.0727,0.1024,0.3832,2
899.0226,28 bytes,14980,0,70,0.0112,0.0464,0.0861,0.1269,0.6987,2
628.6864,28 bytes,14960,0,80,0.0594,0.1118,0.1352,0.1672,0.2776,1
816.8120,28 bytes,15000,0,100,0.0157,0.0597,0.0931,0.1325,2.0321,2
962.7842,28 bytes,15000,0,125,0.0117,0.0599,0.0948,0.1369,2.0805,2
725.1696,27 bytes,14936,49,135,0.0398,0.1034,0.1326,0.1692,0.5960,1
625.6228,28 bytes,14880,0,160,0.0525,0.1145,0.1448,0.1782,0.3292,1
913.7256,28 bytes,14940,0,180,0.0225,0.0716,0.1040,0.1477,3.3148,2
641.3008,28 bytes,14875,125,200,0.0561,0.1140,0.1373,0.1833,1.8529,1
796.7572,28 bytes,15000,0,300,0.0159,0.0642,0.1133,0.1662,6.7081,2
842.0933,28 bytes,14800,0,400,0.0314,0.0786,0.1140,0.1694,7.2153,2
671.0266,27 bytes,14645,342,500,0.0368,0.0600,0.0798,0.1186,13.7057,1
795.7876,28 bytes,15000,0,1000,0.0146,0.0405,0.0634,0.1202,15.6312,2
834.8489,28 bytes,20000,0,10,0.0053,0.0105,0.0149,0.0202,0.0327,3
878.2196,28 bytes,20000,0,20,0.0071,0.0184,0.0295,0.0424,0.0784,4
973.6345,28 bytes,20000,0,50,0.0093,0.0331,0.0610,0.0975,0.3094,4
1126.8492,28 bytes,19950,0,70,0.0105,0.0404,0.0707,0.1151,0.4383,5
1090.7216,28 bytes,20000,0,80,0.0104,0.0429,0.0819,0.1298,0.6264,5
1119.3909,28 bytes,20000,0,100,0.0121,0.0531,0.0926,0.1436,0.7744,5
1113.0986,28 bytes,20000,0,125,0.0138,0.0601,0.1060,0.1760,1.1318,5
1123.0532,28 bytes,19980,0,135,0.0122,0.0543,0.1026,0.1716,1.3172,5
639.9590,27 bytes,19875,116,160,0.0635,0.1169,0.1440,0.1753,0.6594,1
642.3207,28 bytes,19961,0,180,0.0671,0.1118,0.1464,0.1868,0.3380,1
877.5010,28 bytes,20000,0,200,0.0238,0.0745,0.1056,0.1498,5.2172,2
676.4274,27 bytes,19629,118,300,0.0485,0.0936,0.1163,0.1567,4.7048,1
839.1306,28 bytes,20000,0,400,0.0163,0.0655,0.1051,0.1489,9.9049,2
871.0442,28 bytes,20000,0,500,0.0132,0.0603,0.1067,0.1725,13.0823,3
641.2450,28 bytes,19622,0,1000,0.0274,0.0463,0.0640,0.0909,13.7109,1
812.6656,28 bytes,25000,0,10,0.0055,0.0110,0.0156,0.0206,0.0319,2
920.7560,28 bytes,25000,0,20,0.0071,0.0177,0.0285,0.0406,0.0697,3
710.2348,28 bytes,24982,18,50,0.0305,0.0637,0.0816,0.1081,0.1567,1
636.4566,28 bytes,24990,0,70,0.0646,0.0991,0.1198,0.1601,0.2283,1
854.1455,28 bytes,24960,0,80,0.0119,0.0605,0.1142,0.1573,0.5302,2
634.8426,27 bytes,24910,88,100,0.0455,0.1270,0.1576,0.2034,0.3688,1
772.6165,28 bytes,25000,0,125,0.0220,0.0807,0.1213,0.1655,2.0892,2
662.7366,27 bytes,24838,102,135,0.0465,0.1135,0.1459,0.1767,0.3643,1
828.5428,28 bytes,24960,0,160,0.0166,0.0829,0.1271,0.1716,3.1898,2
676.5633,27 bytes,24706,122,180,0.0541,0.1212,0.1469,0.1973,1.5208,1
666.7545,28 bytes,24957,0,200,0.0578,0.1165,0.1376,0.1818,0.2841,1
871.6882,28 bytes,24900,0,300,0.0187,0.0675,0.1042,0.1538,7.7528,2
915.0513,28 bytes,24800,0,400,0.0141,0.0652,0.1220,0.1954,9.4004,3
973.0263,28 bytes,25000,0,500,0.0163,0.0718,0.1392,0.2289,10.3082,4
1055.2193,28 bytes,25000,0,1000,0.0155,0.0806,0.1582,0.2890,13.7294,5
